INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lon_Lat
199401908,07/05/2019,17:20:00,BRONX,41,0,PVT HOUSE,false,18-24,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,"1,015,346","236,367",40.815402050000046,-73.88766070399998,POINT (-73.88766070399998 40.815402050000046)
199325325,07/05/2019,04:02:00,BRONX,42,2,MULTI DWELL - PUBLIC HOUS,false,,,,18-24,M,BLACK,"1,015,157","243,351",40.834571796000034,-73.88831133599997,POINT (-73.88831133599997 40.834571796000034)
199325321,07/05/2019,04:10:00,MANHATTAN,28,0,,false,,,,18-24,M,BLACK,998688,233318,40.80707632000008,-73.94784771899998,POINT (-73.94784771899998 40.80707632000008)
199401908,07/05/2019,17:20:00,BRONX,41,0,PVT HOUSE,false,18-24,M,WHITE HISPANIC,18-24,M,WHITE HISPANIC,1015346,236367,40.815402050000046,-73.88766070399998,POINT (-73.88766070399998 40.815402050000046)
199325324,07/05/2019,00:10:00,BROOKLYN,75,0,,false,,,,25-44,F,BLACK,"1,016,729","184,070",40.67185501100005,-73.88291686099996,POINT (-73.88291686099996 40.67185501100005)
199325324,07/05/2019,00:10:00,BROOKLYN,75,0,,false,,,,25-44,F,BLACK,1016729,184070,40.67185501100005,-73.88291686099996,POINT (-73.88291686099996 40.67185501100005)
199325322,07/05/2019,03:36:00,BROOKLYN,71,0,,false,,,,25-44,M,BLACK,1002882,181672,40.66531300600008,-73.93284095299998,POINT (-73.93284095299998 40.66531300600008)
199325323,07/05/2019,01:14:00,BRONX,48,0,PVT HOUSE,true,18-24,M,BLACK,25-44,M,BLACK HISPANIC,"1,016,293","250,009",40.85284199500006,-73.88417430999993,POINT (-73.88417430999993 40.85284199500006)
199325319,07/05/2019,04:25:00,BRONX,52,0,,false,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,"1,014,384","256,796",40.87147697300003,-73.89104432799998,POINT (-73.89104432799998 40.87147697300003)
199325319,07/05/2019,04:25:00,BRONX,52,0,,false,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,1014384,256796,40.87147697300003,-73.89104432799998,POINT (-73.89104432799998 40.87147697300003)
199408422,07/05/2019,23:12:00,QUEENS,105,0,,true,,,,25-44,M,BLACK,1053876,181365,40.66421620500005,-73.74903292999993,POINT (-73.74903292999993 40.66421620500005)
199403136,07/05/2019,21:25:00,BRONX,47,0,,false,18-24,M,BLACK,25-44,M,WHITE HISPANIC,"1,020,357","259,231",40.87813788000005,-73.86943433699997,POINT (-73.86943433699997 40.87813788000005)
199403136,07/05/2019,21:25:00,BRONX,47,0,,false,25-44,M,BLACK,25-44,M,WHITE HISPANIC,1020357,259231,40.87813788000005,-73.86943433699997,POINT (-73.86943433699997 40.87813788000005)
199325324,07/05/2019,00:10:00,BROOKLYN,75,0,,false,,,,25-44,M,BLACK,1016729,184070,40.67185501100005,-73.88291686099996,POINT (-73.88291686099996 40.67185501100005)
199325320,07/05/2019,04:15:00,BRONX,44,0,,false,,,,18-24,M,BLACK HISPANIC,"1,007,070","241,390",40.82921401300007,-73.917542369,POINT (-73.917542369 40.82921401300007)
199323631,07/05/2019,02:45:00,MANHATTAN,25,0,,false,,,,25-44,M,BLACK,1000558,231080,40.80093037300003,-73.94109824099996,POINT (-73.94109824099996 40.80093037300003)
199403136,07/05/2019,21:25:00,BRONX,47,0,,false,18-24,M,BLACK,25-44,M,WHITE HISPANIC,1020357,259231,40.87813788000005,-73.86943433699997,POINT (-73.86943433699997 40.87813788000005)
199483245,07/05/2019,10:48:00,BRONX,46,0,MULTI DWELL - APT BUILD,true,45-64,M,WHITE HISPANIC,25-44,M,BLACK,1005992,249443,40.85131986700002,-73.92141156699995,POINT (-73.92141156699995 40.85131986700002)
199408422,07/05/2019,23:12:00,QUEENS,105,0,,true,,,,25-44,M,BLACK,"1,053,876","181,365",40.66421620500005,-73.74903292999993,POINT (-73.74903292999993 40.66421620500005)
199325324,07/05/2019,00:10:00,BROOKLYN,75,0,,false,,,,25-44,M,BLACK,"1,016,729","184,070",40.67185501100005,-73.88291686099996,POINT (-73.88291686099996 40.67185501100005)
199325322,07/05/2019,03:36:00,BROOKLYN,71,0,,false,,,,25-44,M,BLACK,"1,002,882","181,672",40.66531300600008,-73.93284095299998,POINT (-73.93284095299998 40.66531300600008)
199325321,07/05/2019,04:10:00,MANHATTAN,28,0,,false,,,,18-24,M,BLACK,"998,688","233,318",40.80707632000008,-73.94784771899998,POINT (-73.94784771899998 40.80707632000008)
199401908,07/05/2019,17:20:00,BRONX,41,0,PVT HOUSE,false,18-24,M,WHITE HISPANIC,18-24,M,WHITE HISPANIC,"1,015,346","236,367",40.815402050000046,-73.88766070399998,POINT (-73.88766070399998 40.815402050000046)
199483245,07/05/2019,10:48:00,BRONX,46,0,MULTI DWELL - APT BUILD,true,45-64,M,WHITE HISPANIC,25-44,M,BLACK,"1,005,992","249,443",40.85131986700002,-73.92141156699995,POINT (-73.92141156699995 40.85131986700002)
199325323,07/05/2019,01:14:00,BRONX,48,0,PVT HOUSE,true,18-24,M,BLACK,25-44,M,BLACK HISPANIC,1016293,250009,40.85284199500006,-73.88417430999993,POINT (-73.88417430999993 40.85284199500006)
199401908,07/05/2019,17:20:00,BRONX,41,0,PVT HOUSE,false,18-24,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,1015346,236367,40.815402050000046,-73.88766070399998,POINT (-73.88766070399998 40.815402050000046)
199323631,07/05/2019,02:45:00,MANHATTAN,25,0,,false,,,,25-44,M,BLACK,"1,000,558","231,080",40.80093037300003,-73.94109824099996,POINT (-73.94109824099996 40.80093037300003)
199403137,07/06/2019,00:03:00,BROOKLYN,67,0,MULTI DWELL - APT BUILD,false,,,,<18,M,BLACK,997786,177027,40.652572760000055,-73.951219199,POINT (-73.951219199 40.652572760000055)
199403138,07/06/2019,23:45:00,MANHATTAN,28,0,,false,,,,25-44,M,BLACK,"997,800","229,887",40.79766057200004,-73.95106232399996,POINT (-73.95106232399996 40.79766057200004)
199403137,07/06/2019,00:03:00,BROOKLYN,67,0,MULTI DWELL - APT BUILD,false,,,,<18,M,BLACK,"997,786","177,027",40.652572760000055,-73.951219199,POINT (-73.951219199 40.652572760000055)
199403138,07/06/2019,23:45:00,MANHATTAN,28,0,,false,,,,25-44,M,BLACK,997800,229887,40.79766057200004,-73.95106232399996,POINT (-73.95106232399996 40.79766057200004)
200839849,07/07/2019,20:20:00,QUEENS,102,0,HOSPITAL,false,,,,25-44,F,BLACK,1035310,194572,40.70059287300006,-73.81585419699996,POINT (-73.81585419699996 40.70059287300006)
199422329,07/07/2019,10:50:00,BROOKLYN,60,0,PVT HOUSE,false,18-24,M,BLACK,25-44,F,BLACK,985897,148507,40.574301425000044,-73.99407278899997,POINT (-73.99407278899997 40.574301425000044)
200839849,07/07/2019,20:20:00,QUEENS,102,0,HOSPITAL,false,,,,25-44,F,BLACK,"1,035,310","194,572",40.70059287300006,-73.81585419699996,POINT (-73.81585419699996 40.70059287300006)
199403139,07/07/2019,00:30:00,STATEN ISLAND,120,0,,false,,,,18-24,M,BLACK,950823,170806,40.63544471700004,-74.12043775599993,POINT (-74.12043775599993 40.63544471700004)
199422329,07/07/2019,10:50:00,BROOKLYN,60,0,PVT HOUSE,false,18-24,M,BLACK,25-44,F,BLACK,"985,897","148,507",40.574301425000044,-73.99407278899997,POINT (-73.99407278899997 40.574301425000044)
199403139,07/07/2019,00:30:00,STATEN ISLAND,120,0,,false,,,,18-24,M,BLACK,"950,823","170,806",40.63544471700004,-74.12043775599993,POINT (-74.12043775599993 40.63544471700004)
199467222,07/08/2019,23:32:00,BRONX,48,0,,false,,,,25-44,M,WHITE HISPANIC,1016293,250009,40.85284199500006,-73.88417430999993,POINT (-73.88417430999993 40.85284199500006)
199467225,07/08/2019,17:40:00,BROOKLYN,71,0,MULTI DWELL - APT BUILD,true,18-24,M,BLACK,25-44,M,BLACK,"1,002,948","182,618",40.66790942700004,-73.93260042799993,POINT (-73.93260042799993 40.66790942700004)
199467222,07/08/2019,23:32:00,BRONX,48,0,,false,18-24,M,BLACK,<18,M,WHITE HISPANIC,"1,016,293","250,009",40.85284199500006,-73.88417430999993,POINT (-73.88417430999993 40.85284199500006)
199467222,07/08/2019,23:32:00,BRONX,48,0,,false,18-24,M,BLACK,25-44,M,WHITE HISPANIC,"1,016,293","250,009",40.85284199500006,-73.88417430999993,POINT (-73.88417430999993 40.85284199500006)
199467225,07/08/2019,17:40:00,BROOKLYN,71,0,MULTI DWELL - APT BUILD,false,18-24,M,BLACK,25-44,M,BLACK,"1,002,948","182,618",40.66790942700004,-73.93260042799993,POINT (-73.93260042799993 40.66790942700004)
199467225,07/08/2019,17:40:00,BROOKLYN,71,0,MULTI DWELL - APT BUILD,true,18-24,M,BLACK,25-44,M,BLACK,1002948,182618,40.66790942700004,-73.93260042799993,POINT (-73.93260042799993 40.66790942700004)
